Vehicle,Route,B,Day,Stop No,Main Location,Secondary Location,Postcode,Freq,Easting,Northing,Arrive,Depart,Stop Duration,Stop Time,Stop Time dec,ID
CMOB,C2,1st,Tuesday,1,Horningsea,High Street,CB25 9JG,monthly,549269.61,262280.3,100000000,105000000,5000000,5000000,0.833333,1
CMOB,C2,1st,Tuesday,2,Fen Ditton,Wrights Close,CB5 8SY,monthly,548300.06,260896.35,110000000,111500000,1500000,1500000,0.25,2
CMOB,C2,1st,Tuesday,3,Six Mile Bottom,Delamere Close,CB8 0UN,monthly,557852.61,256909.87,113500000,120000000,2500000,2500000,0.416667,3
CMOB,C2,1st,Tuesday,4,West Wratting,High Street,CB21 5LU,monthly,560465.56,252265.92,121500000,124500000,3000000,3000000,0.5,4
CMOB,C2,1st,Tuesday,5,Weston Green,Post Office,CB21 5NT,monthly,562704.56,252215.78,135000000,141500000,2500000,2500000,0.416667,5
CMOB,C2,1st,Tuesday,6,Weston Colville,Mill Hill,CB21 5NY,monthly,562024.85,252915.45,142000000,145000000,3000000,3000000,0.5,6
CMOB,C2,1st,Tuesday,7,Brinkley,High Street,CB8 0SF,monthly,563080.36,254670.2,150000000,160000000,10000000,10000000,1,7
CMOB,C3,1st,Wednesday,1,Newnham,Pinehurst/Grange Road,CB3 9BH,monthly,543765.98,257932.17,93000000,101500000,4500000,4500000,0.75,8
CMOB,C3,1st,Wednesday,2,Newnham,Larchfield/Gough Way,CB3 9LR,monthly,543504.44,257731.42,102500000,110000000,3500000,3500000,0.583333,9
CMOB,C3,1st,Wednesday,3,Newton,The Green,CB22 7PA,monthly,543766.67,249490.09,112500000,120000000,3500000,3500000,0.583333,10
CMOB,C3,1st,Wednesday,4,Thriplow,Middle Street / School Lane,SG8 7RH,monthly,543780.14,246684.12,121000000,123500000,2500000,2500000,0.416667,11
CMOB,C3,1st,Wednesday,5,Thriplow,Sheralds Croft Lane,SG8 7RB,monthly,543394.95,246624.4,124000000,130000000,2000000,2000000,0.333333,12
CMOB,C3,1st,Wednesday,6,Great Chishill,The Church,SG8 8SR,monthly,542301.02,238883.71,141000000,144000000,3000000,3000000,0.5,13
CMOB,C3,1st,Wednesday,7,Heydon,Fowlmere Road,SG8 8PZ,monthly,543096.25,240351.64,144500000,151500000,3000000,3000000,0.5,14
CMOB,C3,1st,Wednesday,8,Fowlmere,High Street,SG8 7SR,monthly,542250.28,245859.14,153000000,161000000,4000000,4000000,0.666667,15
CMOB,C4,1st,Thursday,1,Harlton,Bolton Way,CB23 1EZ,monthly,538489.02,252415.11,100000000,102000000,2000000,2000000,0.333333,16
CMOB,C4,1st,Thursday,2,Harlton,Lay-by,CB23 1ER,monthly,539103.61,252435.97,102500000,110000000,3500000,3500000,0.583333,17
CMOB,C4,1st,Thursday,3,Haslingfield,The Meadows,CB23 1JD,monthly,540648,252429,111000000,114000000,3000000,3000000,0.5,18
CMOB,C4,1st,Thursday,4,Haslingfield,Methodist Church,CB23 1JW,monthly,540518.53,252172.94,114500000,122000000,3500000,3500000,0.583333,19
CMOB,C4,1st,Thursday,5,Harston,The Limes,CB22 7QT,monthly,542701,251039.96,132000000,134000000,2000000,2000000,0.333333,20
CMOB,C4,1st,Thursday,6,Harston,Queens Close,CB22 7QW,monthly,543209.38,251373.33,134500000,142000000,3500000,3500000,0.583333,21
CMOB,C4,1st,Thursday,7,Hauxton,The Green,CB22 5HP,monthly,544010.99,252062.63,143000000,150000000,3000000,3000000,0.5,22
CMOB,C4,1st,Thursday,8,Trumpington,"Foster Road, Pavilion",CB2 9JT,monthly,544737.52,254838.98,151500000,160000000,4500000,4500000,0.75,23
CMOB,C5,1st,Friday,1,Cambridge,Storeys House,CB3 0BZ,monthly,544368.74,259165.21,94500000,101500000,3000000,3000000,0.5,24
CMOB,C5,1st,Friday,2,Barton,Roman Hill,CB23 7AX,monthly,541420.83,255657.43,103500000,105500000,2000000,2000000,0.333333,25
CMOB,C5,1st,Friday,3,Barton,Kings Grove,CB23 7AZ,monthly,540891.27,256008.47,110000000,114000000,4000000,4000000,0.666667,26
CMOB,C5,1st,Friday,4,Barton,Great Close,CB23 7BH,monthly,540733.62,255636.94,114500000,120500000,2000000,2000000,0.333333,27
CMOB,C5,1st,Friday,5,Barton,Allens Close,CB23 7BL,monthly,540919.13,255656.02,121000000,123000000,2000000,2000000,0.333333,28
CMOB,C5,1st,Friday,6,Grantchester,Stulpfield Road/Tabrum Close,CB3 9NL,monthly,543013.45,255642.96,124000000,131000000,3000000,3000000,0.5,29
CMOB,C5,1st,Friday,7,Coton,Footpath,CB3 7PX,monthly,541502.63,258767.34,140000000,143500000,3500000,3500000,0.583333,30
CMOB,C5,1st,Friday,8,Coton,St Peters Road,CB3 7PR,monthly,540716.12,258738.1,144000000,160000000,12000000,12000000,1.33333,31
CMOB,C8,2nd,Monday,1,Cambridge,Neville Road,CB1 3SW,monthly,547043.17,256699.33,94500000,102000000,3500000,3500000,0.583333,32
CMOB,C8,2nd,Monday,2,Cambridge,Brooklyn Court,CB1 7HF,monthly,547357.56,256466.17,102500000,105500000,3000000,3000000,0.5,33
CMOB,C8,2nd,Monday,3,Cambridge,Normanhurst,CB1 7BJ,monthly,546532.29,256581.54,110500000,113000000,2500000,2500000,0.416667,34
CMOB,C8,2nd,Monday,4,Cambridge,Denis Wilson Court,CB2 8ES,monthly,545109.76,256005.78,114000000,121000000,3000000,3000000,0.5,35
CMOB,C8,2nd,Monday,5,Trumpington,Bishops Road,CB2 2NQ,monthly,544723.74,254330.03,122000000,125000000,3000000,3000000,0.5,36
CMOB,C8,2nd,Monday,6,Babraham,High Street,CB22 3AG,monthly,551321.87,250372.54,135000000,141500000,2500000,2500000,0.416667,37
CMOB,C8,2nd,Monday,7,Sawston,Chapelfield Way,CB22 3SY,monthly,548738.13,249631.5,142500000,145000000,2500000,2500000,0.416667,38
CMOB,C8,2nd,Monday,8,Sawston,Uffen Way,CB22 3BS,monthly,548041.68,249562.86,150000000,153000000,3000000,3000000,0.5,39
CMOB,C8,2nd,Monday,9,Great Shelford,Orchard Road,CB22 5AA,monthly,546608,252642,154000000,161000000,3000000,3000000,0.5,40
CMOB,C9,2nd,Tuesday,1,Linton,Flaxfields,CB21 4JG,monthly,556059.3,247102.43,100000000,110000000,10000000,10000000,1,41
