Local Authority,Library,Date,Name,Attendees
Cambridgeshire,Arbury Court,01-04-2019,Class Visits,23
Cambridgeshire,Arbury Court,01-04-2019,Class Visits,25
Cambridgeshire,Arbury Court,01-04-2019,Class Visits,15
Cambridgeshire,Arbury Court,01-04-2019,Class Visits,23
Cambridgeshire,Arbury Court,04-04-2019,Storytimes,45
Cambridgeshire,Arbury Court,11-04-2019,Storytimes,34
Cambridgeshire,Arbury Court,18-04-2019,Storytimes,72
Cambridgeshire,Arbury Court,25-04-2019,Storytimes,41
Cambridgeshire,Arbury Court,29-04-2019,Class Visits,23
Cambridgeshire,Arbury Court,29-04-2019,CLass Visits,24
Cambridgeshire,Arbury Court,29-04-2019,Class Visits,0
Cambridgeshire,Arbury Court,29-04-2019,Class Visits,20
Cambridgeshire,Arbury Court,29-04-2019,Class Visits,0
Cambridgeshire,Arbury Court,29-04-2019,Class Visits,1
Cambridgeshire,Arbury Court,09-05-2019,Storytimes,38
Cambridgeshire,Arbury Court,20-05-2019,Class Visits,21
Cambridgeshire,Arbury Court,20-05-2019,Class Visits,18
Cambridgeshire,Arbury Court,20-05-2019,Class Visits,23
Cambridgeshire,Arbury Court,20-05-2019,Class Visits,22
Cambridgeshire,Arbury Court,20-05-2019,Class Visits,25
Cambridgeshire,Arbury Court,20-05-2019,Class Visits,13
Cambridgeshire,Arbury Court,30-05-2019,Storytimes,45
Cambridgeshire,Arbury Court,03-06-2019,Class Visits,22
Cambridgeshire,Arbury Court,03-06-2019,Class Visits,21
Cambridgeshire,Arbury Court,03-06-2019,Class Visits,25
Cambridgeshire,Arbury Court,03-06-2019,Class Visits,20
Cambridgeshire,Arbury Court,03-06-2019,Class Visits,22
Cambridgeshire,Arbury Court,06-06-2019,Storytimes,40
Cambridgeshire,Arbury Court,10-06-2019,Class Visits,24
Cambridgeshire,Arbury Court,10-06-2019,Class Visits,25
Cambridgeshire,Arbury Court,10-06-2019,Class Visits,12
Cambridgeshire,Arbury Court,11-06-2019,Outreach (Children),399
Cambridgeshire,Arbury Court,11-06-2019,Outreach (Children),373
Cambridgeshire,Arbury Court,13-06-2019,Storytimes,23
Cambridgeshire,Arbury Court,17-06-2019,Class Visits,23
Cambridgeshire,Arbury Court,17-06-2019,Class Visits,23
Cambridgeshire,Arbury Court,17-06-2019,Class Visits,23
Cambridgeshire,Arbury Court,17-06-2019,Class Visits,21
Cambridgeshire,Arbury Court,17-06-2019,Class Visits,29
Cambridgeshire,Arbury Court,17-06-2019,Class Visits,20
Cambridgeshire,Arbury Court,17-06-2019,Outreach (Children),227
