Local Authority,Library,Count Start,Count End,Count Type,visits
Cambridgeshire,Arbury Court,2018-Apr,2019 Dec,Manual/electric,53373
Cambridgeshire,Bar Hill,2018-Apr,2019 Dec,Manual/electric,30856
Cambridgeshire,Barnwell Road,2018-Apr,2019 Dec,Manual/electric,44601
Cambridgeshire,Buckden,2018-Apr,2019 Dec,Manual/electric,13653
Cambridgeshire,Burwell,2018-Apr,2019 Dec,Manual/electric,62600
Cambridgeshire,Cambourne,2018-Apr,2019 Dec,Manual/electric,75581
Cambridgeshire,Cambridge Central,2018-Apr,2019 Dec,Thermal Imaging,943703
Cambridgeshire,Chatteris,2018-Apr,2019 Dec,Manual/electric,73654
Cambridgeshire,Cherry Hinton,2018-Apr,2019 Dec,Manual/electric,97253
Cambridgeshire,Clay Farm,2018-Apr,2019 Dec,Manual/electric,51855
Cambridgeshire,Comberton,2018-Apr,2019 Dec,Manual/electric,12323
Cambridgeshire,Cottenham,2018-Apr,2019 Dec,Manual/electric,21877
Cambridgeshire,Ely,2018-Apr,2019 Dec,Electronic Counter,266925
Cambridgeshire,Great Shelford,2018-Apr,2019 Dec,Manual/electric,65672
Cambridgeshire,Histon,2018-Apr,2019 Dec,Manual/electric,68159
Cambridgeshire,Huntingdon,2018-Apr,2019 Dec,Electronic Counter,321310
Cambridgeshire,Linton,2018-Apr,2019 Dec,Manual/electric,32878
Cambridgeshire,Littleport,2018-Apr,2019 Dec,Manual/electric,31413
Cambridgeshire,March,2018-Apr,2019 Dec,Electronic Counter,144935
Cambridgeshire,Milton Road,2018-Apr,2019 Dec,Manual/electric,19169
Cambridgeshire,CMOB,2018-Apr,2019 Dec,Manual/electric,10545
Cambridgeshire,HMOB,2018-Apr,2019 Dec,Manual/electric,9351
Cambridgeshire,MMOB,2018-Apr,2019 Dec,Manual/electric,9378
Cambridgeshire,Mobile Libraries,2018-Apr,2019 Dec,Manual/electric,29360
Cambridgeshire,Papworth,2018-Apr,2019 Dec,Manual/electric,12923
Cambridgeshire,Ramsey,2018-Apr,2019 Dec,Manual/electric,62566
Cambridgeshire,Rock Road,2018-Apr,2019 Dec,Manual/electric,60391
Cambridgeshire,Sawston,2018-Apr,2019 Dec,Manual/electric,35861
Cambridgeshire,Sawtry,2018-Apr,2019 Dec,Manual/electric,14754
Cambridgeshire,Soham,2018-Apr,2019 Dec,Manual/electric,67036
Cambridgeshire,St Ives,2018-Apr,2019 Dec,Electronic Counter,190994
Cambridgeshire,St Neots,2018-Apr,2019 Dec,Electronic Counter,179022
Cambridgeshire,Warboys,2018-Apr,2019 Dec,Manual/electric,15194
Cambridgeshire,Whittlesey,2018-Apr,2019 Dec,Manual/electric,73710
Cambridgeshire,Willingham,2018-Apr,2019 Dec,Manual/electric,26091
Cambridgeshire,Wisbech,2018-Apr,2019 Dec,Electronic Counter,154600
Cambridgeshire,Yaxley,2018-Apr,2019 Dec,Manual/electric,33123
