Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Statutory,Type of library,Year Opened,Year Closed,Monday staffed hours,Tuesday staffed Hours,Wednesday Staffed hours,Thursday Staffed hours,Friday Staffed hours,Saturday Staffed hours,Sunday Staffed hours,Monday Unstaffed hours,Tuesday Unstaffed hours,Wednesday Unstaffed hours,Thursday Unstaffed hours,Friday Unstaffed hours,Saturday Unstaffed hours,Sunday Unstaffed hours,Special Hours,Co-located,Co-located with,Notes,URL,Email Address,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Arbury Court Library,Arbury Road,,Cambridge,CB4 2JQ,Yes,Local Authority Service,1966,,3pm-6pm,9am-5pm,Closed,9am-1pm,9am-5pm,10am-2pm,Closed,,,,,,,,,,,,https://www.cambridgeshire.gov.uk/directory/listings/arbury-court-library-cambridge,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,.
Cambridgeshire,Bar Hill Library,Gladeside,Bar Hill,Cambridge,CB23 8DY,Yes,Local Authority Service,1989,,10am-5pm,2pm-5pm,10am-5pm,Closed,2pm-5pm,9.30am-12.30pm,Closed,,,,,,,,,Yes,Post Office,,https://www.cambridgeshire.gov.uk/directory/listings/bar-hill-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Barnwell Road Library,Barnwell Road,,Cambridge,CB5 8RG,Yes,Local Authority Service,1964,,Closed,10am-5pm,10am-5pm,2pm-5pm,2pm-5pm,10am-1pm,Closed,,,,,,,,,,,,https://www.cambridgeshire.gov.uk/directory/listings/barnwell-road-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Bassingbourn Book Café,The Limes Community Centre,High Street,Bassingbourn Cum Kneesworth,SG8 5LD,No,Community Library,2010,,2pm-4.30pm,Closed,Closed,"2pm-4.30pm,  6pm-8pm",Closed,10am-12pm,Closed,,,,,,,,,Yes,Community Centre,,https://www.cambridgeshire.gov.uk/directory/listings/bassingbourn-book-cafe,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Bottisham Community Library,Bottisham Village College,Lode Road,Cambridge,CB25 9DL,No,Community Library,2010,,Closed,"3pm-5pm,   6pm-8pm",10am-11.30am,3pm-5pm,6pm-8pm,10am-12pm,Closed,,,,,,,,,Yes,Village College,,https://www.cambridgeshire.gov.uk/directory/listings/bottisham-library-access-point,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Brampton Community Library,34 High Street,Brampton,Huntingdon,PE28 4TH,Yes,Local Authority Service,2010,,11.30am-1.30pm,Closed,3pm-5pm,Closed,Closed,11.30am-1.30pm,Closed,,,,,,,,,Yes,Community Centre,,https://www.cambridgeshire.gov.uk/directory/listings/brampton-community-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Buckden Library,Community Hall and Sports Centre,Burberry Road,St Neots,PE19 5UY,Yes,Local Authority Service,1999,,Closed,"10am-1pm, 2pm-5pm",Closed,2pm-5pm,5pm-8pm,10am-1pm,Closed,,,,,,,,,Yes,Community Centre,,https://www.cambridgeshire.gov.uk/directory/listings/buckden-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Burwell Library,Village College,The Causeway,Burwell,CB25 0DU,Yes,Local Authority Service,2010,,2pm-5pm,10am-5pm,Closed,12pm-7pm,2pm-5pm,10am-1pm,Closed,,,,,,,,,Yes,Village College,,https://www.cambridgeshire.gov.uk/directory/listings/burwell-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Cambourne Library,Sackville House,Sackville Way,Cambourne,CB23 6HL,Yes,Local Authority Service,2004,,9am-5pm,9am-1pm,Closed,4pm-7pm,9am-5pm,9am-1pm,Closed,,,,,,,,,Yes,Health Centre & Children’s Centre,,https://www.cambridgeshire.gov.uk/directory/listings/cambourne-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Cambridge Central Library,7 Lion Yard,,Cambridge,CB2 3QD,Yes,Local Authority Service,1974,,9.30am-6pm,9.30am-6am,9.30am-7am,9.30am-6pm,9.30am-6pm,10am-6pm,Closed,,,,,,,,,Yes,Shopping Centre,,https://www.cambridgeshire.gov.uk/directory/listings/Cambridge-Central-Library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Chatteris Library,2 Furrowfields Road,,Chatteris,PE16 6PT,Yes,Local Authority Service,1992,,10am-5pm,2pm-5pm,10am-5pm,Closed,10am-5pm,10am-1pm,Closed,,,,,,,,,Yes,District Council Office,,https://www.cambridgeshire.gov.uk/directory/listings/chatteris-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Cherry Hinton Library,High Street,Cherry Hinton,Cambridge,CB1 9HZ,Yes,Local Authority Service,1963,,3pm-6pm,Closed,9am-5pm,9am-1pm,9am-5pm,10am-2pm,Closed,,,,,,,,,Yes,Community Centre/Café,,https://www.cambridgeshire.gov.uk/directory/listings/cherry-hinton-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Clay Farm Library,Clay Farm Centre,Hobson Square,"Trumpington, Cambridge",CB2 9FN,Yes,Local Authority Service,2019,,9.30am-1pm,9.30am-1pm,9.30am-1pm,9.30am-7pm,9.30am-1pm,9.30am-1pm,Closed,,,,,,,,,Yes,Community Centre,,https://www.cambridgeshire.gov.uk/directory/listings/clay-farm-library-trumpington-cambridge,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Comberton Library,Comberton Village Centre,West Street,Comberton,CB23 7DU,Yes,Local Authority Service,1960,,10am-1pm,Closed,"10am-1pm,   2pm-5pm",Closed,2pm-5pm,10am-1pm,Closed,,,,,,,,,Yes,Village College,,https://www.cambridgeshire.gov.uk/directory/listings/comberton-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
