Local Authority,Library,Month,Type,Loans
CAMBS,Arbury Court Library,2019-12,Adult fiction,1
CAMBS,Arbury Court Library,2019-12,Adult fiction hardback,35
CAMBS,Arbury Court Library,2019-12,Adult fiction large print hardback,10
CAMBS,Arbury Court Library,2019-12,Adult fiction large print paperback,7
CAMBS,Arbury Court Library,2019-12,Adult fiction paperback,75
CAMBS,Arbury Court Library,2019-12,Adult non fiction hardback,15
CAMBS,Arbury Court Library,2019-12,Adult non fiction large print hardback,1
CAMBS,Arbury Court Library,2019-12,Adult non fiction paperback,34
CAMBS,Arbury Court Library,2019-12,Children's fiction,8
CAMBS,Arbury Court Library,2019-12,Children's spoken word CD set,2
CAMBS,Arbury Court Library,2019-12,DVD: 12,2
CAMBS,Arbury Court Library,2019-12,DVD: PG,1
CAMBS,Arbury Court Library,2019-12,DVD: U,2
CAMBS,Arbury Court Library,2019-12,Junior fiction,313
CAMBS,Arbury Court Library,2019-12,Junior large print,1
CAMBS,Arbury Court Library,2019-12,Junior non-fiction,30
CAMBS,Arbury Court Library,2019-12,Picture Book,1
CAMBS,Arbury Court Library,2019-12,Teenage,2
CAMBS,Arbury Court Library,2019-12,Young adult,5
CAMBS,Arbury Court Library,2019-12,Young adult fiction paperback,1
CAMBS,Arbury Court Library,2019-12,Young adult plus,1
CAMBS,Arbury Court Library,2020-01,Adult fiction,5
CAMBS,Arbury Court Library,2020-01,Adult fiction hardback,46
CAMBS,Arbury Court Library,2020-01,Adult fiction large print hardback,5
CAMBS,Arbury Court Library,2020-01,Adult fiction large print paperback,9
CAMBS,Arbury Court Library,2020-01,Adult fiction paperback,94
CAMBS,Arbury Court Library,2020-01,Adult non fiction hardback,12
CAMBS,Arbury Court Library,2020-01,Adult non fiction paperback,31
CAMBS,Arbury Court Library,2020-01,Adult non-fiction,3
CAMBS,Arbury Court Library,2020-01,Adult spoken word CD set,6
CAMBS,Arbury Court Library,2020-01,Children's fiction,15
CAMBS,Arbury Court Library,2020-01,Children's non-fiction,4
CAMBS,Arbury Court Library,2020-01,Children's spoken word CD set,9
CAMBS,Arbury Court Library,2020-01,DVD: 12,2
CAMBS,Arbury Court Library,2020-01,DVD: PG,1
CAMBS,Arbury Court Library,2020-01,DVD: U,1
CAMBS,Arbury Court Library,2020-01,Junior fiction,557
CAMBS,Arbury Court Library,2020-01,Junior non-fiction,47
CAMBS,Arbury Court Library,2020-01,Map,3
CAMBS,Arbury Court Library,2020-01,Quick Pick fiction,2
CAMBS,Arbury Court Library,2020-01,Teenage,6
CAMBS,Arbury Court Library,2020-01,Young adult,8
CAMBS,Bar Hill Library,2019-12,Adult fiction,7
CAMBS,Bar Hill Library,2019-12,Adult fiction hardback,24
CAMBS,Bar Hill Library,2019-12,Adult fiction large print paperback,2
CAMBS,Bar Hill Library,2019-12,Adult fiction paperback,65
CAMBS,Bar Hill Library,2019-12,Adult non fiction hardback,5
CAMBS,Bar Hill Library,2019-12,Adult non fiction paperback,14
CAMBS,Bar Hill Library,2019-12,Adult spoken word CD set,4
CAMBS,Bar Hill Library,2019-12,Children's spoken word CD set,3
CAMBS,Bar Hill Library,2019-12,Junior fiction,108
CAMBS,Bar Hill Library,2019-12,Junior non-fiction,11
CAMBS,Bar Hill Library,2019-12,Picture Book,3
CAMBS,Bar Hill Library,2019-12,Quick Pick fiction,1
